Vessel,Date,BeaufortScale,TransectEvent,Transect,WaveHeight,WindSpeed,comments
,"05/02/12 00:00:00",2,74,"3",,,
"Pandalus","07/29/12 00:00:00",,75,"3",,,
"Silver Hawk","10/29/12 00:00:00",,76,"3",,,
"Pandalus","05/02/12 00:00:00",3,77,"4",,,
"Pandalus","07/31/12 00:00:00",0,78,"4",,,
"Silver Hawk","10/29/12 00:00:00",,79,"4",,,
"Silver Hawk","02/12/13 00:00:00",,80,"4",,,
"Silver Hawk","02/13/13 00:00:00",2,81,"AnchorPoint-Dropin",,,
"Pandalus","05/03/12 00:00:00",2,82,"6",,,
"Pandalus","07/30/12 00:00:00",4,85,"6",,,
"Silver Hawk","10/28/12 00:00:00",3,86,"6",,,
"Pandalus","05/03/12 00:00:00",2,87,"7",,,
"Pandalus","07/30/12 00:00:00",,88,"7",,,
"Silver Hawk","10/29/12 00:00:00",2,89,"7",,,
"Silver Hawk","10/28/12 00:00:00",3,90,"7",,,
"Barnacle","04/26/12 00:00:00",1,91,"9",,,
"Barnacle","05/31/12 00:00:00",2,92,"9",,,
"Barnacle","05/31/12 00:00:00",2,93,"9",,,
"Barnacle","06/05/12 00:00:00",3,94,"9",,,
"Barnacle","06/05/12 00:00:00",3,95,"9",,,
"Barnacle","07/12/12 00:00:00",,96,"9",,,
"Barnacle","08/31/12 00:00:00",,97,"9",,,
"Silver Hawk","10/29/12 00:00:00",3,98,"9",,,
"Silver Hawk","01/04/13 00:00:00",0,99,"9",,,
"Silver Hawk","02/12/13 00:00:00",0,100,"9",,,
"Silver Hawk","02/12/13 00:00:00",4,101,"AlongBay",,,
"Barnacle","03/15/13 00:00:00",,102,"9",,,
"Pandalus","04/19/13 00:00:00",,103,"6",,,
"Pandalus","04/20/13 00:00:00",,104,"7",,,
"Pandalus","04/20/13 00:00:00",,105,"3",,,
"Pandalus","04/21/13 00:00:00",,106,"4",,,
"Pandalus","04/21/13 00:00:00",,107,"9",,,
"Barnacle","05/21/13 00:00:00",,108,"9",,,
"Pandalus","07/18/13 00:00:00",,109,"7",,,
"Pandalus","07/19/13 00:00:00",3,110,"3",,,
"Pandalus","07/19/13 00:00:00",2,111,"4",,,
"Pandalus","07/21/13 00:00:00",2,112,"6",,,
"Pandalus","07/22/13 00:00:00",0,113,"9",,,
"Barnacle","08/30/13 00:00:00",0,114,"9",,,
"Pandalus","10/29/13 00:00:00",1,116,"9",,,
"Pandalus","10/29/13 00:00:00",2,117,"4",,,
"Pandalus","11/06/13 00:00:00",3,118,"6",,,
"Pandalus","11/08/13 00:00:00",2,119,"3",,,
"Barnacle","09/25/13 00:00:00",2,120,"9",,,
"Barnacle","12/03/13 00:00:00",1,121,"9",,,
"Barnacle","01/09/14 00:00:00",,122,"9",,,
"Pandalus","02/14/14 00:00:00",3,123,"9",,,
"Pandalus","02/15/14 00:00:00",2,124,"4",,,
"Pandalus","02/16/14 00:00:00",1,125,"3",,,
"Pandalus","02/17/14 00:00:00",1,126,"7",,,
"Pandalus","04/06/14 00:00:00",3,127,"6",,,
"Johana Rose","03/28/14 00:00:00",2,128,"9",,,
"Pandalus","04/07/14 00:00:00",2,129,"7",,,
"Pandalus","04/11/14 00:00:00",,138,"3",1,5,
"Pandalus","04/11/14 00:00:00",,139,"4",0,0,
"Pandalus","04/11/14 00:00:00",,140,"9",1,10,
"Johanna Rose","05/28/14 00:00:00",,141,"9",0,0,
"Barnacle","06/18/14 00:00:00",,143,"9",1,10,
"Waters","07/21/14 00:00:00",,144,"9",1,10,
"Waters","07/21/14 00:00:00",,145,"4",1,10,
"Waters","07/22/14 00:00:00",,146,"3",3,20,
"Waters","07/23/14 00:00:00",,148,"6",0,2,
"Waters","07/24/14 00:00:00",,149,"7",1,5,
"Barnacle","08/13/14 00:00:00",,150,"4",1,3,
"Barnacle","08/13/14 00:00:00",,151,"9",1,0,
"Barnacle","09/25/14 00:00:00",,152,"9",1,0,
"Pandalus","10/13/14 00:00:00",,153,"4",1,5,
"Pandalus","10/13/14 00:00:00",,154,"3",2,5,
"Pandalus","10/17/14 00:00:00",,155,"7",3,15,
"Pandalus","10/18/14 00:00:00",,156,"6",2,8,
"Pandalus","10/18/14 00:00:00",,157,"7",0,5,
"Pandalus","10/19/14 00:00:00",,158,"9",1,5,
"Barnacle","11/25/14 00:00:00",,160,"9",0,5,
,"02/14/12 00:00:00",,165,"9",2,5,
,"03/14/12 00:00:00",,166,"9",0,3,
,"04/10/12 00:00:00",,167,"9",1,5,
,"05/31/12 00:00:00",,169,"4",0,5,
,"05/31/12 00:00:00",,170,"4",2,10,
,"06/05/12 00:00:00",,171,"4",0,5,
,"06/05/12 00:00:00",,172,"4",1,10,
,"06/25/12 00:00:00",,173,"9",2,15,
,"06/27/12 00:00:00",,174,"9",1,5,
,"07/02/12 00:00:00",,175,"9",1,5,
,"07/21/12 00:00:00",,176,"9",1,15,
,"08/03/12 00:00:00",,177,"9",2,10,
"Barnacle","08/15/12 00:00:00",,178,"9",1,2,
"Nuka","08/15/12 00:00:00",,179,"4",1,5,
"Barnacle","08/26/12 00:00:00",,180,"9",1,10,
,"09/21/12 00:00:00",,181,"9",1,5,
,"09/21/12 00:00:00",,182,"9",1,5,
"Nuka","09/21/12 00:00:00",,183,"9",0,5,
"Nuka","09/21/12 00:00:00",,184,"9",0,5,
"Nuka","09/21/12 00:00:00",,185,"9",0,5,
"Johanna Rose","09/21/12 00:00:00",,186,"9",1,15,
"Barnacle","10/12/12 00:00:00",,187,"9",0,5,
"Barnacle","12/17/14 00:00:00",,188,"9",1,10,
"Barnacle","01/16/15 00:00:00",,193,"9",1,10,
"Pandalus","02/12/15 00:00:00",,194,"9",1,5,
"Pandalus","02/12/15 00:00:00",,195,"4",1,5,
"Pandalus","02/22/15 00:00:00",,196,"3",1,5,
"Pandalus","02/23/15 00:00:00",,197,"6",2,3,
"Pandalus","02/24/15 00:00:00",,198,"7",1,5,
"Pandalus","02/24/15 00:00:00",,199,"4",1,10,
"Pandalus","02/24/15 00:00:00",,200,"9",1,10,
"Barnacle","03/31/15 00:00:00",,201,"9",1,5,
"Pandalus","04/08/15 00:00:00",,202,"4",1,10,
"Pandalus","04/08/15 00:00:00",,203,"6",2,5,
"Pandalus","04/08/15 00:00:00",,204,"9",1,20,
"Pandalus","04/12/15 00:00:00",,205,"3",2,20,
"Pandalus","04/13/15 00:00:00",,206,"7",1,10,
"Barnacle","05/28/15 00:00:00",,207,"9",1,5,
"Barnacle","06/26/15 00:00:00",,208,"9",1,10,
"Barnacle","07/10/15 00:00:00",,209,"9",0,0,
"Barnacle","07/29/15 00:00:00",,210,"9",1,10,
"Barnacle","09/04/15 00:00:00",,211,"9",0,0,
"Edgecumbe","09/24/15 00:00:00",,212,"9",0,0,
"Edgecumbe","09/24/15 00:00:00",,213,"4",3,20,
"Edgecumbe","10/19/15 00:00:00",,214,"9",2,5,
"Edgecumbe","10/19/15 00:00:00",,215,"4",1,5,
"Ursus","11/03/15 00:00:00",,216,"4",4,8,
"Ursus","11/04/15 00:00:00",,217,"3",1,5,
"Ursus","11/04/15 00:00:00",,218,"4",1,5,
"Ursus","11/04/15 00:00:00",,219,"9",1,5,
"Edgecumbe","12/10/15 00:00:00",,220,"9",1,5,
"Edgecumbe","12/10/15 00:00:00",,221,"4",1,5,
"Nuka","06/06/13 00:00:00",,222,"4",1,5,
"Barnacle","06/06/13 00:00:00",,223,"9",1,5,
"Barnacle","06/19/13 00:00:00",,224,"9",1,5,
"Edgecumbe","01/07/16 00:00:00",,225,"9",1,5,
"Pandalus","02/09/16 00:00:00",,226,"9",1,3,
"Pandalus","02/09/16 00:00:00",,227,"4",1,4,
"Pandalus","02/14/16 00:00:00",,228,"3",3,25,
"Pandalus","02/15/16 00:00:00",,229,"6",1,5,
"Pandalus","02/16/16 00:00:00",,230,"7",2,10,
"Barnacle","04/07/16 00:00:00",,231,"9",2,10,
"Pandalus","04/11/16 00:00:00",,232,"4",1,5,
"Pandalus","04/11/16 00:00:00",,233,"3",1,5,
"Pandalus","04/10/16 00:00:00",,234,"6",2,20,
"Edgecumbe","05/12/16 00:00:00",,235,"9",1,5,
"Edgecumbe","05/12/16 00:00:00",,236,"7",1,15,
"Edgecumbe","05/12/16 00:00:00",,237,"4",1,15,
"Edgecumbe","06/16/16 00:00:00",,238,"9",1,5,
,,,239,"9",,,
"Edgecumbe","07/27/16 00:00:00",,240,"9",0,2,
"Edgecumbe","07/27/16 00:00:00",,241,"4",1,5,
"Alaskan Dream","08/30/16 00:00:00",,243,"7",4,10,
"Alaskan Dream","08/29/16 00:00:00",,244,"3",1,0,
"Alaskan Dream","08/31/16 00:00:00",,245,"6",0,0,
"Edgecumbe","09/23/16 00:00:00",,246,"9",0,0,
"Edgecumbe","10/13/16 00:00:00",,247,"9",0,0,
"Edgecumbe","10/13/16 00:00:00",,248,"4",1,5,
"Edgecumbe","11/10/16 00:00:00",,249,"9",1,15,
"Edgecumbe","01/11/17 00:00:00",,250,"9",0,5,
"Edgecumbe","02/07/17 00:00:00",,252,"9",1,10,
"Edgecumbe","03/28/17 00:00:00",,262,"9",1,5,
"Dreamcatcher","04/18/17 00:00:00",,263,"6",2,15,
"DreamCatcher","04/19/17 00:00:00",,264,"3",1,5,
"Dreamcatcher","04/19/17 00:00:00",,265,"7",1,5,
"Dreamcatcher","04/20/17 00:00:00",,266,"4",1,10,
"Dreamcatcher","04/20/17 00:00:00",,267,"9",0,0,
"Edgecumbe","05/30/17 00:00:00",,268,"9",1,15,
"Dreamcatcher","04/18/17 00:00:00",,269,"6",2,15,
"Edgecumbe","07/25/17 00:00:00",,270,"3",2,10,
"Edgecumbe","07/25/17 00:00:00",,271,"4",1,0,
"Edgecumbe","10/17/17 00:00:00",,272,"4",,,
"Edgecumbe","10/17/17 00:00:00",,273,"9",,,
"Dreamcatcher","04/20/17 00:00:00",,274,"AlongBay",1,15,
"Edgecumbe","10/20/17 00:00:00",,275,"AlongBay",2,15,
"Edgecumbe","11/07/17 00:00:00",,276,"AlongBay",,,
"Edgecumbe","11/07/17 00:00:00",,277,"9",,,
"Edgecumbe","01/11/17 00:00:00",,278,"AlongBay",,,
"Edgecumbe","02/07/17 00:00:00",,279,"AlongBay",1,5,
"Edgecumbe","03/28/17 00:00:00",,280,"AlongBay",1,5,
"edgecumbe","06/28/17 00:00:00",,281,"9",1,5,
"Edgecumbe","06/28/17 00:00:00",,282,"AlongBay",1,15,
"Edgecumbe","07/24/17 00:00:00",,283,"9",1,10,
"Edgecumbe","07/24/17 00:00:00",,284,"AlongBay",3,10,
"Edgecumbe","07/26/17 00:00:00",,285,"AlongBay",0,0,
"Edgecumbe","07/26/17 00:00:00",,286,"7",2,10,
"Edgecumbe","07/26/17 00:00:00",,287,"6",1,5,
"Edgecumbe","05/30/17 00:00:00",,288,"AlongBay",1,15,
"Edgecumbe","08/24/17 00:00:00",,290,"9",1,5,
"Edgecumbe","09/22/17 00:00:00",,291,"AlongBay",,,
"Edgecumbe","09/22/17 00:00:00",,292,"9",,,
"edgecumbe","11/02/17 00:00:00",,293,"6",1,5,
"Edgecumbe","11/02/17 00:00:00",,294,"7",3,10,
"Edgecumbe","01/02/17 00:00:00",,295,"AlongBay",3,15,
"Edgecumbe","12/14/17 00:00:00",,296,"9",0,5,
"Edgecumbe","12/14/17 00:00:00",,297,"AlongBay",0,5,
"Edgecumbe","08/24/17 00:00:00",,298,"AlongBay",1,5,
"Edgecumbe","01/17/18 00:00:00",,299,"AlongBay",2,10,
"Edgecumbe","01/17/18 00:00:00",,300,"9",1,5,
"Edgecumbe","02/16/18 00:00:00",,301,"AlongBay",0,0,
"Edgecumbe","02/16/18 00:00:00",,302,"9",0,0,
,,,303,"0",,,"safe to delete?"
"Edgecumbe","03/02/18 00:00:00",,304,"AlongBay",3,20,
"Edgecumbe","03/02/18 00:00:00",,305,"9",1,10,
"Edgecumbe","03/27/18 00:00:00",,306,"7",1,10,
"Edgecumbe","03/27/18 00:00:00",,307,"9",0,0,
"Edgecumbe","03/27/18 00:00:00",,308,"AlongBay",0,0,
"Edgecumbe","04/23/18 00:00:00",,309,"9",0,0,
"Edgecumbe","04/23/18 00:00:00",,310,"4",0,0,
"Edgecumbe","04/23/18 00:00:00",,311,"AlongBay",3,,
"Edgecumbe","05/24/18 00:00:00",,312,"AlongBay",0,0,
"Edgecumbe","05/24/18 00:00:00",,313,"9",1,3,
"Edgecumbe","06/22/18 00:00:00",,315,"AlongBay",0,10,
"Edgecumbe","06/22/18 00:00:00",,316,"9",2,5,
"Edgecumbe","06/25/18 00:00:00",,317,"3",3,,
"Edgecumbe","06/25/18 00:00:00",,318,"4",2,0,
"Edgecumbe","07/18/18 00:00:00",,319,"6",,,
"Edgecumbe","07/18/18 00:00:00",,320,"7",,,
"Edgecumbe","07/18/18 00:00:00",,321,"AlongBay",,,
"Edgecumbe","07/24/18 00:00:00",,322,"4",,,
"Edgecumbe","07/24/18 00:00:00",,323,"9",,,
"Edgecumbe","07/26/18 00:00:00",,324,"3",,,
"Edgecumbe","08/23/18 00:00:00",,325,"AlongBay",2,5,
"Edgecumbe","08/23/18 00:00:00",,326,"9",1,5,
"Edgecumbe","09/13/18 00:00:00",,327,"3",,,
"Edgecumbe","09/13/18 00:00:00",,328,"4",,,
"Edgecumbe","09/13/18 00:00:00",,329,"9",,,
"Edgecumbe","10/17/18 00:00:00",,330,"AlongBay",0,0,
,,,331,"0",,,
"Edgecumbe","10/17/18 00:00:00",,332,"9",0,0,
"Edgecumbe","11/08/18 00:00:00",,333,"AlongBay",,,
"Edgecumbe","11/08/18 00:00:00",,334,"9",,,
"Edgecumbe","12/06/18 00:00:00",,335,"AlongBay",,,
"Edgecumbe","12/06/18 00:00:00",,336,"9",,,
"Edgecumbe","09/17/18 00:00:00",,337,"6",1,0,
"Edgecumbe","09/17/18 00:00:00",,338,"7",5,0,
"Edgecumbe","09/17/18 00:00:00",,339,"AlongBay",5,0,
"Edgecumbe","02/07/19 00:00:00",,340,"4",2,10,
"Edgecumbe","02/07/19 00:00:00",,341,"AlongBay",1,10,
"Edgecumbe","02/07/19 00:00:00",,342,"9",1,0,
"Edgecumbe","02/08/19 00:00:00",,343,"6",3,15,
"Edgecumbe","02/08/19 00:00:00",,344,"7",4,15,
"Edgecumbe","02/08/19 00:00:00",,345,"3",2,10,
"Edgecumbe","03/19/19 00:00:00",,348,"AlongBay",,,
"Edgecumbe","03/19/19 00:00:00",,349,"9",,,
"Edgecumbe","06/19/19 00:00:00",,350,"AlongBay",2,10,
"Edgecumbe","06/19/19 00:00:00",,351,"9",2,15,
"Edgecumbe","04/24/19 00:00:00",,352,"AlongBay",2,15,
"Edgecumbe","04/24/19 00:00:00",,353,"9",2,15,
"Pandalus","05/12/19 00:00:00",,354,"6",1,5,
"Pandalus","05/12/19 00:00:00",,355,"7",3,15,
"Edgecumbe","09/16/19 00:00:00",,356,"9",1,5,
"Edgecumbe","12/12/19 00:00:00",,358,"AlongBay",,,
"Edgecumbe","12/12/19 00:00:00",,359,"9",,,
"Edgecumbe","10/30/19 00:00:00",,360,"AlongBay",,,
"Edgecumbe","10/30/19 00:00:00",,361,"9",,,
"Edgecumbe","11/15/19 00:00:00",,362,"AlongBay",0,5,
"Edgecumbe","11/15/19 00:00:00",,363,"9",2,0,
"Edgecumbe","08/19/19 00:00:00",,364,"AlongBay",9,0,
"Edgecumbe","08/19/19 00:00:00",,365,"9",1,10,
"Edgecumbe","09/16/19 00:00:00",,366,"3",3,10,
"Edgecumbe","09/16/19 00:00:00",,367,"4",2,0,
"Edgecumbe","09/19/19 00:00:00",,368,"AlongBay",0,0,
"Edgecumbe","09/19/19 00:00:00",,369,"7",2,0,
"Edgecumbe","09/19/19 00:00:00",,370,"6",2,0,
"Edgecumbe","07/23/19 00:00:00",,371,"AlongBay",,,
"Edgecumbe","07/23/19 00:00:00",,372,"9",,,
"Edgecumbe","02/06/20 00:00:00",,373,"AlongBay",,,
"Edgecumbe","02/06/20 00:00:00",,374,"9",,,
"Edgecumbe","02/14/20 00:00:00",,375,"9",,,
"Edgecumbe","02/14/20 00:00:00",,376,"4",,,
"Edgecumbe","03/18/20 00:00:00",,377,"AlongBay",,,
"Edgecumbe","03/18/20 00:00:00",,378,"9",,,
"Edgecombe","03/28/17 00:00:00",,380,"AlongBay",1,5,"MR addition for missing TransectEvent 260"
"Edgecombe","03/19/19 00:00:00",,381,"AlongBay",,,"MR addition for missing 347"
"Edgecombe","08/24/17 00:00:00",,382,"AlongBay",,,"MR addition"
"Edgecombe","06/22/18 00:00:00",,383,"AlongBay",,,"MR addition"
"Edgecombe","03/19/19 00:00:00",,384,"AlongBay",,,"MR addition"
"Edgecumbe","08/14/20 00:00:00",,386,"AlongBay",,,
"Edgecumbe","08/14/20 00:00:00",,388,"9",,,
"Edgecumbe","05/14/19 00:00:00",,389,"4",0,0,
"Edgecumbe","05/14/19 00:00:00",,390,"3",2,15,
"Edgecumbe","05/14/19 00:00:00",,391,"AlongBay",2,15,
"Edgecumbe","05/14/19 00:00:00",,392,"9",2,15,
"Alaska Dreamcatcher","04/19/17 00:00:00",,393,"3",1,5,
"Alaska Dreamcatcher","04/18/17 00:00:00",,394,"6",2,15,
"Edgecumbe","02/07/17 00:00:00",,395,"AlongBay",1,10,
"Dreamcatcher","12/13/16 00:00:00",,396,"9",1,5,
"Edgecumbe","09/21/19 00:00:00",,397,"9",,,
"Edgecumbe","09/21/19 00:00:00",,398,"4",,,
"Edgecumbe","10/15/20 00:00:00",,399,"AlongBay",,,
"Edgecumbe","10/15/20 00:00:00",,400,"9",,,
"Edgecumbe","12/28/20 00:00:00",,401,"9",,,
"Edgecumbe","12/28/20 00:00:00",,402,"AlongBay",,,
"Edgecumbe","09/20/20 00:00:00",,403,"6",2,10,
"Edgecumbe","09/20/20 00:00:00",,404,"7",2,10,
"Edgecumbe","09/20/20 00:00:00",,405,"AlongBay",2,10,
"Edgecumbe","01/13/21 00:00:00",,406,"AlongBay",,,
"Edgecumbe","01/13/21 00:00:00",,407,"9",,,
"Edgecumbe","02/16/21 00:00:00",,408,"6",,,
"Edgecumbe","02/16/21 00:00:00",,409,"7",,,
"Edgecumbe","02/16/21 00:00:00",,410,"AlongBay",,,
"Edgecumbe","02/17/21 00:00:00",,411,"4",,,
"Edgecumbe","02/17/21 00:00:00",,412,"9",,,
"Edgecumbe","03/23/21 00:00:00",,413,"AlongBay",1,10,
"Edgecumbe","03/23/21 00:00:00",,414,"9",,,
"Edgecumbe","04/16/21 00:00:00",,415,"3",,,
"Edgecumbe","04/16/21 00:00:00",,416,"4",,,
"Edgecumbe","04/16/21 00:00:00",,417,"AlongBay",,,
"Edgecumbe","04/16/21 00:00:00",,418,"9",,,
,,,419,"6",,,
"Spirit","05/01/21 00:00:00",,420,"6",,,
"Spirit","05/01/21 00:00:00",,421,"7",1,10,
"Spirit","05/01/21 00:00:00",,422,"AlongBay",2,5,
"Edgecumbe","05/24/21 00:00:00",,423,"AlongBay",,,
"Edgecumbe","05/24/21 00:00:00",,424,"9",,,
"Edgecumbe","06/21/21 00:00:00",,425,"AlongBay",0,5,
"Edgecumbe","06/21/21 00:00:00",,426,"9",0,2,
